Election Date,Election Name,County ID,County Name,Ballot Measure ID,Ballot Measure Name,Ballot Measure Title,Yes Votes,No Votes
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"229,679","331,752"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"303,938","261,401"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"212,213","350,108"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"336,583","223,935"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 25,Eliminates Money Bail System,"283,434","274,659"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"4,021","7,183"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","4,055","7,282"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"2,689","8,541"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"4,676","6,652"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"3,123","8,244"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"4,480","6,617"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"5,535","5,545"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"2,984","8,101"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"6,440","4,669"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"3,793","7,345"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"5,198","5,917"
11/3/2020,"November 3, 2020, General Election",8,Del Norte,1.9E+11,Proposition 25,Eliminates Money Bail System,"3,429","7,615"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"43,131","69,710"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","35,969","78,650"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"26,482","86,517"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"46,861","67,536"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"31,377","83,592"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"46,665","65,183"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"50,788","60,219"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"27,222","85,020"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"76,060","36,838"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"28,619","83,829"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"50,356","61,371"
11/3/2020,"November 3, 2020, General Election",9,El Dorado,1.9E+11,Proposition 25,Eliminates Money Bail System,"35,841","75,236"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"166,063","188,586"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","147,121","211,621"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"118,482","235,826"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"167,676","190,825"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"119,047","239,931"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"172,940","177,971"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"176,115","174,800"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"107,560","246,352"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"232,685","123,729"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"118,174","237,669"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"185,659","165,759"
11/3/2020,"November 3, 2020, General Election",10,Fresno,1.9E+11,Proposition 25,Eliminates Money Bail System,"116,492","234,674"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"3,649","7,419"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","2,859","8,302"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"2,186","8,797"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"3,712","7,370"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"2,265","8,823"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"4,132","6,770"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"5,610","5,325"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"2,191","8,871"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"7,710","3,358"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"2,496","8,567"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"4,743","6,266"
11/3/2020,"November 3, 2020, General Election",11,Glenn,1.9E+11,Proposition 25,Eliminates Money Bail System,"2,555","8,377"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"32,573","33,698"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","36,654","30,878"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"27,399","38,823"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"42,658","24,919"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"31,564","36,004"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"32,866","32,790"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"21,395","44,074"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"27,835","38,400"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"30,264","35,893"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"26,201","39,515"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"34,733","30,688"
11/3/2020,"November 3, 2020, General Election",12,Humboldt,1.9E+11,Proposition 25,Eliminates Money Bail System,"31,206","34,171"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"30,852","24,206"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","28,522","27,044"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"23,149","31,887"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"29,257","26,126"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"21,536","33,906"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"29,653","24,995"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"24,790","30,013"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"19,760","35,121"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"32,106","23,075"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"25,412","29,706"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"33,587","21,205"
11/3/2020,"November 3, 2020, General Election",13,Imperial,1.9E+11,Proposition 25,Eliminates Money Bail System,"21,009","33,315"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"3,739","5,417"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","3,661","5,653"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"2,806","6,356"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"4,308","4,997"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"2,945","6,381"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"3,947","5,094"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"3,732","5,346"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"2,845","6,267"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"5,336","3,808"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"2,454","6,712"
11/3/2020,"November 3, 2020, General Election",14,Inyo,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"4,197","4,899"
