YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
2016,Marin,3708890.2,0.0123,125.06,33115.09,2722711.32,0.0124,91.81,24309.92,112.0,0.0038,488.721
2016,Mariposa,280233.21,0.0074,68.27,20016.66,239242.14,0.0078,58.28,17088.72,14.0,0.0034,412.4239
2016,Mendocino,3542998.99,0.0206,189.49,28343.99,2878589.55,0.0225,153.95,23028.72,125.0,0.0067,914.6433
2016,Merced,12044318.75,0.0405,431.31,27126.84,10223990.19,0.0441,366.12,23027.0,444.0,0.0159,2083.2229
2016,Modoc,,,,,,,,,0.0,,
2016,Mono,,,,,,,,,0.0,,
2016,Monterey,17504353.86,0.0325,326.71,32718.42,13310405.6,0.0331,248.44,24879.26,535.0,0.01,1467.9433
2016,Napa,3201030.44,0.0191,205.44,28079.21,2455016.3,0.0195,157.56,21535.23,114.0,0.0073,894.166
2016,Nevada,2085561.11,0.0112,94.18,27441.59,1745802.22,0.0118,78.84,22971.08,76.0,0.0034,474.6895
2016,Orange,50950591.26,0.0227,265.7,24343.33,46698031.36,0.0244,243.52,22311.53,2093.0,0.0109,1439.8333
2016,Placer,6724412.74,0.0193,192.04,31276.34,5131073.86,0.0189,146.54,23865.46,215.0,0.0061,845.1851
2016,Plumas,301369.57,0.0065,58.64,21526.4,287039.65,0.0073,55.86,20502.83,14.0,0.0027,352.5978
2016,Riverside,42954710.25,0.0315,356.98,25954.51,39436925.85,0.0341,327.75,23828.96,1655.0,0.0138,1946.0724
2016,Sacramento,47103039.42,0.0458,500.81,32350.99,35959801.99,0.0479,382.34,24697.67,1456.0,0.0155,2140.3358
2016,San Benito,2248509.29,0.031,340.58,32587.09,1636600.59,0.0318,247.89,23718.85,69.0,0.0105,1499.6971
2016,San Bernardino,48885949.33,0.0461,569.01,26367.83,44937179.0,0.0518,523.05,24237.96,1854.0,0.0216,3083.7931
2016,San Diego,70694563.34,0.0315,342.3,26727.62,63971687.05,0.0336,309.75,24185.89,2645.0,0.0128,1844.4633
2016,San Francisco,23086260.21,0.0297,335.48,30905.3,16883580.07,0.0333,245.35,22601.85,747.0,0.0109,1422.5823
2016,San Joaquin,24931525.89,0.0441,461.05,27887.61,21321051.85,0.0486,394.29,23849.05,894.0,0.0165,2237.1891
2016,San Luis Obispo,5267089.22,0.013,110.9,25201.38,4517845.38,0.0131,95.13,21616.49,209.0,0.0044,625.3974
2016,San Mateo,15699270.52,0.0281,294.7,32369.63,11519348.21,0.029,216.24,23751.23,485.0,0.0091,1308.5861
2016,Santa Barbara,12673246.31,0.0244,225.19,27976.26,10908520.15,0.0248,193.84,24080.62,453.0,0.008,1160.6873
2016,Santa Clara,54982453.11,0.0435,488.94,34998.38,39572555.06,0.0446,351.9,25189.4,1571.0,0.014,2147.5905
2016,Santa Cruz,8038323.97,0.0228,219.18,34351.81,5663178.1,0.0221,154.42,24201.62,234.0,0.0064,943.8309
2016,Shasta,5215082.01,0.0129,124.36,25439.42,4213049.88,0.0131,100.47,20551.46,205.0,0.0049,585.3246
2016,Sierra,,,,,,,,,0.0,,
2016,Siskiyou,1294975.82,0.0141,115.62,26978.66,1129136.09,0.0154,100.82,23523.67,48.0,0.0043,696.4286
2016,Solano,18004761.07,0.0483,522.54,33157.94,13439340.46,0.0494,390.04,24750.17,543.0,0.0158,2272.6376
2016,Sonoma,11436014.7,0.0217,231.69,32305.13,8386655.76,0.0216,169.91,23691.12,354.0,0.0072,1016.795
2016,Stanislaus,21212654.66,0.0505,540.86,28550.01,18244982.63,0.0542,465.2,24555.83,743.0,0.0189,2679.6022
2016,Sutter,3513401.24,0.0236,236.24,23267.56,3169941.71,0.0267,213.15,20992.99,151.0,0.0102,1172.9424
2016,Tehama,2204971.46,0.0182,164.99,25940.84,1892712.59,0.0197,141.63,22267.21,85.0,0.0064,799.3116
2016,Trinity,,,,,,,,,0.0,,
2016,Tulare,17729725.55,0.0383,386.25,22189.89,17963833.57,0.0451,391.35,22482.9,799.0,0.0174,2448.5208
2016,Tuolumne,1499542.2,0.0113,109.68,26777.54,1267070.05,0.0125,92.68,22626.25,56.0,0.0041,512.4342
2016,Ventura,24957669.22,0.0262,296.42,26298.91,21962814.5,0.0271,260.85,23143.11,949.0,0.0113,1480.9373
2016,Yolo,2864019.85,0.0217,203.19,22551.34,2170015.59,0.0223,153.96,17086.74,127.0,0.009,885.917
2016,Yuba,2460596.1,0.0238,241.45,24854.51,2210753.92,0.027,216.93,22330.85,99.0,0.0097,1198.4104
2016,nan,,,,,,,,,0.0,,
2017,Alameda,49273962.59,0.0389,476.07,33935.24,35377168.11,0.0398,341.81,24364.44,1452.0,0.014,1989.9518
2017,Alpine,,,,,,,,,0.0,,
2017,Amador,615709.23,0.0081,77.68,22804.05,478738.59,0.0083,60.4,17731.06,27.0,0.0034,376.861
2017,Butte,7321189.8,0.0153,161.43,24162.34,6734192.88,0.0169,148.48,22225.06,303.0,0.0067,839.746
2017,Calaveras,1424064.32,0.0141,137.38,26869.14,1185859.23,0.0153,114.4,22374.7,53.0,0.0051,792.977
2017,Colusa,834496.12,0.0308,280.41,20353.56,731470.41,0.0345,245.79,17840.74,41.0,0.0138,1535.2823
2017,Contra Costa,33139339.51,0.0355,422.93,33205.75,23840408.47,0.0353,304.25,23888.18,998.0,0.0127,1690.6339
2017,Del Norte,409663.66,0.0093,78.22,21561.25,359956.65,0.01,68.73,18945.09,19.0,0.0036,467.6341
2017,El Dorado,3259147.43,0.0137,134.01,28340.41,2536056.44,0.0141,104.28,22052.66,115.0,0.0047,610.7319
2017,Fresno,30169161.12,0.0363,390.68,24468.09,28756661.64,0.0404,372.39,23322.52,1233.0,0.016,2195.8121
2017,Glenn,1134389.3,0.0222,225.57,23633.11,1045679.21,0.0246,207.93,21784.98,48.0,0.0095,1186.5182
2017,Humboldt,2895576.95,0.0139,116.51,26810.9,2469685.73,0.0154,99.37,22867.46,108.0,0.0043,548.7466
2017,Imperial,12456113.57,0.0471,531.93,23771.21,13126303.03,0.0572,560.55,25050.2,524.0,0.0224,3179.2288
2017,Inyo,604069.14,0.0136,147.01,22372.93,520700.42,0.0158,126.72,19285.2,27.0,0.0066,680.9443
2017,Kern,28028388.4,0.0389,459.53,25205.39,25537149.78,0.042,418.69,22965.06,1112.0,0.0182,2441.7392
2017,Kings,5754627.34,0.0442,458.87,24592.42,5475345.21,0.0492,436.6,23398.91,234.0,0.0187,2680.3285
2017,Lake,3356083.72,0.0189,221.35,24496.96,2851165.3,0.0211,188.05,20811.43,137.0,0.009,1001.0553
2017,Lassen,148821.96,0.0038,33.12,13529.27,148545.65,0.0044,33.05,13504.15,11.0,0.0024,197.8193
2017,Los Angeles,300290073.05,0.0348,520.14,26433.99,260074985.34,0.0369,450.48,22893.92,11360.0,0.0197,2591.0339
2017,Madera,3747066.88,0.0287,272.97,21912.67,4018079.76,0.0356,292.71,23497.54,171.0,0.0125,1799.2278
2017,Marin,3541944.29,0.0114,120.94,33102.28,2562497.79,0.0115,87.5,23948.58,107.0,0.0037,453.459
2017,Mariposa,263773.85,0.0072,64.46,21981.15,225273.22,0.0075,55.05,18772.77,12.0,0.0029,285.9238
2017,Mendocino,3326461.4,0.0182,175.17,29437.71,2731198.11,0.0201,143.82,24169.89,113.0,0.006,821.3797
2017,Merced,12514757.62,0.039,434.81,26798.2,10699134.91,0.0429,371.73,22910.35,467.0,0.0162,2138.4546
2017,Modoc,,,,,,,,,0.0,,
2017,Mono,,,,,,,,,0.0,,
2017,Monterey,17902428.7,0.0312,333.48,32083.21,13106839.12,0.0315,244.15,23488.96,558.0,0.0104,1427.334
2017,Napa,3200282.28,0.019,207.14,26448.61,2446072.75,0.0193,158.32,20215.48,121.0,0.0078,894.8867
2017,Nevada,2185676.47,0.0112,96.88,27666.79,1852931.25,0.0121,82.13,23454.83,79.0,0.0035,484.553
2017,Orange,63237650.65,0.026,317.89,25571.23,57011647.55,0.0275,286.59,23053.64,2473.0,0.0124,1658.8147
2017,Placer,6254517.04,0.0171,176.82,30361.73,4703413.03,0.0167,132.97,22832.1,206.0,0.0058,777.3663
2017,Plumas,321142.72,0.0072,61.96,21409.51,307260.7,0.008,59.28,20484.05,15.0,0.0029,385.8769
2017,Riverside,42877875.67,0.0303,354.39,24871.16,39315555.09,0.0327,324.94,22804.85,1724.0,0.0142,1916.2424
2017,Sacramento,49413523.21,0.0449,516.25,32745.87,37237442.79,0.047,389.04,24676.9,1509.0,0.0158,2157.1629
2017,San Benito,2524220.66,0.0343,378.44,34578.37,1817060.85,0.0346,272.42,24891.24,73.0,0.0109,1761.919
2017,San Bernardino,47939290.15,0.0441,561.75,25955.22,44028169.18,0.0492,515.92,23837.67,1847.0,0.0216,3045.1142
2017,San Diego,73530310.4,0.0317,353.57,27622.21,64967430.12,0.0332,312.39,24405.5,2662.0,0.0128,1857.6079
2017,San Francisco,21918021.11,0.0281,321.98,32811.41,15827611.35,0.0313,232.51,23694.03,668.0,0.0098,1379.6072
2017,San Joaquin,25620125.66,0.0425,468.67,28593.89,20859132.61,0.0447,381.57,23280.28,896.0,0.0164,2142.4834
2017,San Luis Obispo,5206694.39,0.012,106.14,25032.18,4485272.21,0.0122,91.43,21563.81,208.0,0.0042,620.1688
2017,San Mateo,16427419.64,0.029,309.9,31713.17,11933574.77,0.0297,225.12,23037.79,518.0,0.0098,1379.6336
2017,Santa Barbara,12289173.06,0.0227,217.63,26949.94,10633028.06,0.0233,188.31,23318.04,456.0,0.0081,1101.8117
2017,Santa Clara,55615682.82,0.0411,483.79,34565.37,39894224.67,0.0423,347.03,24794.42,1609.0,0.014,2085.9618
2017,Santa Cruz,8526784.95,0.0216,213.47,34107.14,5974946.19,0.0211,149.58,23899.78,250.0,0.0063,892.4745
2017,Shasta,5826835.92,0.0138,132.54,27101.56,4701208.27,0.014,106.94,21866.08,215.0,0.0049,608.5117
2017,Sierra,,,,,,,,,0.0,,
2017,Siskiyou,1026630.99,0.0112,91.07,27016.61,897481.63,0.012,79.61,23617.94,38.0,0.0034,513.794
2017,Solano,19628165.8,0.051,565.18,32604.93,14363785.46,0.0515,413.6,23860.11,602.0,0.0173,2399.4932
