,county name,yes count 2020,no count 2020,total count 2020,yes perc 2020,no perc 2020,yes count 2018,no count 2018,total count 2018,yes perc 2018,no perc 2018,yes count 2022,no count 2022,total count 2022,yes perc 2022,no perc 2022
37,San Francisco,194596.0,222161.0,416757.0,0.4669291697559969,0.5330708302440031,202728,149499,352227,0.5755606469691421,0.42443935303085795,113887.0,177690.0,291577.0,0.39058979274771327,0.6094102072522867
38,San Joaquin,93808.0,188410.0,282218.0,0.3323955240275248,0.6676044759724752,70974,119885,190859,0.37186614202107315,0.6281338579789268,48837.0,125379.0,174216.0,0.28032442485190795,0.719675575148092
39,San Luis Obispo,45240.0,107798.0,153038.0,0.2956128543237627,0.7043871456762373,44772,76904,121676,0.3679608139649561,0.6320391860350438,26838.0,88641.0,115479.0,0.23240589198036007,0.7675941080196399
40,San Mateo,135581.0,220379.0,355960.0,0.38088830205641083,0.6191116979435891,118561,156221,274782,0.4314729494653944,0.5685270505346056,76287.0,162060.0,238347.0,0.32006696119523215,0.6799330388047679
41,Santa Barbara,74012.0,119489.0,193501.0,0.38248897938511944,0.6175110206148805,61872,87794,149666,0.4134005051247444,0.5865994948752555,38175.0,92911.0,131086.0,0.29122103046854736,0.7087789695314526
42,Santa Clara,319139.0,491885.0,811024.0,0.39350130205764566,0.6064986979423543,263653,322779,586432,0.4495883580705009,0.5504116419294991,176642.0,348125.0,524767.0,0.33661034325710265,0.6633896567428973
43,Santa Cruz,55182.0,83088.0,138270.0,0.3990887394228683,0.6009112605771317,52125,62578,114703,0.4544344960463109,0.5455655039536891,30159.0,69544.0,99703.0,0.30248839051984394,0.6975116094801561
44,Shasta,18609.0,71697.0,90306.0,0.20606604212344695,0.7939339578765531,17900,50429,68329,0.26196783210642627,0.7380321678935737,11896.0,54888.0,66784.0,0.17812649736463823,0.8218735026353617
45,Sierra,546.0,1327.0,1873.0,0.29151094500800856,0.7084890549919914,601,1000,1601,0.37539038101186756,0.6246096189881324,377.0,1123.0,1500.0,0.25133333333333335,0.7486666666666667
46,Siskiyou,6906.0,15671.0,22577.0,0.30588652168135716,0.6941134783186429,7023,10402,17425,0.4030416068866571,0.5969583931133429,4720.0,12408.0,17128.0,0.27557216254086875,0.7244278374591312
47,Solano,74026.0,127209.0,201235.0,0.3678584739235223,0.6321415260764778,56427,86555,142982,0.3946440810731421,0.6053559189268579,37359.0,90724.0,128083.0,0.2916780525128237,0.7083219474871763
