YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000,AVG_AGE,FEML_PCT,MALE_PCT,RACE_WHT_PCT,RACE_BLACK_PCT,RACE_HSPNC_PCT,RACE_OTHR_PCT,DUAL_PCT
2015,Nevada,2176420.86,0.0124,102.01,28265.21,1881446.87,0.0134,88.18,24434.37,77,0.0036,521.6067,72.0,0.5277,0.4723,0.9333,0.0028,0.029,0.035,0.1417
2015,Orange,58507983.94,0.0258,299.41,25175.55,53690026.05,0.0277,274.75,23102.42,2324,0.0119,1576.8274,74.0,0.5553,0.4447,0.6725,0.0123,0.1041,0.211,0.2492
2015,Placer,6669502.7,0.02,188.39,30315.92,5300865.36,0.02,149.73,24094.84,220,0.0062,848.4874,72.0,0.5403,0.4597,0.8744,0.0124,0.0553,0.0579,0.1403
2015,Plumas,349636.22,0.0077,69.03,16649.34,329176.88,0.0087,64.99,15675.09,21,0.0041,436.7226,71.0,0.5084,0.4916,0.9301,0.0047,0.031,0.0342,0.1803
2015,Riverside,40660267.22,0.0318,352.78,25192.23,37906127.64,0.0344,328.89,23485.83,1614,0.014,1950.675,72.0,0.5242,0.4758,0.7189,0.0548,0.1642,0.062,0.1915
2015,Sacramento,44126552.08,0.0434,449.89,31075.04,35012038.7,0.0464,356.96,24656.37,1420,0.0145,1997.023,69.0,0.5365,0.4635,0.6448,0.1087,0.1048,0.1416,0.3384
2015,San Benito,1980018.3,0.0287,297.52,32459.32,1472032.59,0.0298,221.19,24131.68,61,0.0092,1307.7385,72.0,0.5354,0.4646,0.5716,0.0071,0.3817,0.0397,0.2216
2015,San Bernardino,47417514.75,0.0487,578.86,25728.44,44334293.26,0.0549,541.22,24055.5,1843,0.0225,3188.659,69.0,0.5157,0.4843,0.5925,0.095,0.233,0.0794,0.3235
2015,San Diego,73080105.61,0.0345,364.68,27258.53,66170177.28,0.0365,330.2,24681.16,2681,0.0134,1933.9648,72.0,0.5329,0.4671,0.702,0.0425,0.1426,0.1129,0.1889
2015,San Francisco,23102750.75,0.0311,338.4,30721.74,17402188.27,0.0354,254.9,23141.21,752,0.011,1459.712,72.0,0.527,0.473,0.4403,0.0899,0.1019,0.3679,0.5223
2015,San Joaquin,24903487.76,0.0434,461.27,27639.83,21093282.32,0.0475,390.7,23410.97,901,0.0167,2178.8327,70.0,0.5368,0.4632,0.5843,0.0752,0.2221,0.1184,0.33
2015,San Luis Obispo,5623332.89,0.0147,121.63,26155.04,4930248.54,0.015,106.64,22931.39,215,0.0047,696.9631,73.0,0.5422,0.4578,0.8755,0.0073,0.0788,0.0385,0.1401
2015,San Mateo,15710327.95,0.03,294.35,31109.56,11861061.97,0.0315,222.23,23487.25,505,0.0095,1337.2304,74.0,0.5538,0.4462,0.6743,0.0303,0.1082,0.1873,0.1003
2015,Santa Barbara,12071110.75,0.0242,217.69,26884.43,10699465.66,0.0251,192.95,23829.54,449,0.0081,1167.896,72.0,0.544,0.456,0.7342,0.0193,0.191,0.0555,0.2121
2015,Santa Clara,52637499.89,0.0455,493.66,33807.0,38939885.61,0.0477,365.2,25009.56,1557,0.0146,2216.8327,73.0,0.5441,0.4559,0.5858,0.0239,0.1275,0.2629,0.2221
2015,Santa Cruz,7546957.97,0.0224,208.63,33100.69,5589664.24,0.0225,154.52,24516.07,228,0.0063,924.9461,72.0,0.5424,0.4576,0.7771,0.0083,0.1603,0.0543,0.2098
2015,Shasta,5072167.04,0.0129,123.59,27417.12,4199443.37,0.0133,102.32,22699.69,185,0.0045,585.8532,70.0,0.5283,0.4717,0.9149,0.007,0.0352,0.0429,0.244
2015,Sierra,,,,,,,,,0,,,71.0,0.5278,0.4722,,,,,0.2045
2015,Siskiyou,1079117.62,0.0124,99.57,24525.4,958169.04,0.0141,88.41,21776.57,44,0.0041,612.2901,71.0,0.5114,0.4886,0.8903,0.0124,0.041,0.0564,0.2275
2015,Solano,16179483.54,0.0478,472.26,30759.47,12435587.25,0.0497,362.98,23641.8,526,0.0154,2127.1454,70.0,0.5475,0.4525,0.5328,0.1656,0.1459,0.1557,0.2923
2015,Sonoma,11069482.87,0.0223,222.05,31269.73,8457587.22,0.0227,169.65,23891.49,354,0.0071,977.373,72.0,0.5522,0.4478,0.8469,0.0128,0.0834,0.0569,0.2183
2015,Stanislaus,19953929.59,0.0478,506.64,27637.02,17473079.88,0.0518,443.65,24200.94,722,0.0183,2565.1898,69.0,0.53,0.47,0.6634,0.03,0.2382,0.0684,0.3983
2015,Sutter,3466952.13,0.0246,237.17,23746.25,3192219.04,0.0278,218.38,21864.51,146,0.01,1177.2472,71.0,0.5423,0.4577,0.7099,0.0197,0.1335,0.1369,0.2894
2015,Tehama,1936214.18,0.0171,145.51,27270.62,1707558.65,0.0186,128.33,24050.12,71,0.0053,690.1398,70.0,0.5298,0.4702,0.8864,0.0052,0.0724,0.036,0.2519
2015,Trinity,,,,,,,,,0,,,70.0,0.4774,0.5226,,,,,0.231
2015,Tulare,17677658.64,0.0386,386.19,22809.88,17831133.05,0.0448,389.55,23007.91,775,0.0169,2374.2955,71.0,0.531,0.469,0.5947,0.0136,0.3451,0.0466,0.3815
2015,Tuolumne,1331568.33,0.0104,99.32,25607.08,1162363.37,0.0117,86.7,22353.14,52,0.0039,446.4832,72.0,0.5305,0.4695,0.9185,0.0037,0.0468,0.031,0.1584
2015,Ventura,24232400.41,0.0268,291.52,26835.44,21549559.76,0.0278,259.25,23864.41,903,0.0109,1467.7165,72.0,0.5472,0.4528,0.6851,0.0174,0.2181,0.0794,0.2374
2015,Yolo,4218594.75,0.0323,289.58,30792.66,3328595.51,0.0339,228.49,24296.32,137,0.0094,1213.413,71.0,0.5388,0.4612,0.6733,0.0281,0.2004,0.0982,0.338
2015,Yuba,2239493.67,0.0239,224.76,22173.2,2064240.37,0.0274,207.17,20438.02,101,0.0101,1188.6792,69.0,0.5217,0.4783,0.7895,0.0252,0.1177,0.0675,0.3301
2015,nan,,,,,,,,,0,,,,,,,,,,
2016,Alameda,47881099.86,0.0404,478.06,34200.79,34794613.02,0.0415,347.4,24853.3,1400,0.014,2032.5189,71.0,0.5419,0.4581,0.4546,0.1582,0.1241,0.2631,0.3922
2016,Alpine,,,,,,,,,0,,,71.0,0.5377,0.4623,,,,,0.1934
2016,Amador,676371.86,0.0094,86.28,27054.87,554362.79,0.0101,70.72,22174.51,25,0.0032,471.4887,72.0,0.53,0.47,0.9198,0.0036,0.0446,0.032,0.1329
2016,Butte,7273774.32,0.0158,161.82,23693.08,6697426.23,0.0174,149.0,21815.72,307,0.0068,856.0368,71.0,0.5391,0.4609,0.8868,0.0114,0.0604,0.0414,0.2488
2016,Calaveras,1364325.84,0.0142,133.33,29028.21,1161771.9,0.0159,113.53,24718.55,47,0.0046,764.7806,72.0,0.5166,0.4834,0.9123,0.005,0.0504,0.0322,0.1461
2016,Colusa,1033081.19,0.0405,354.16,28696.7,827495.86,0.0415,283.68,22986.0,36,0.0123,1727.1169,72.0,0.507,0.493,0.6435,0.0117,0.3013,0.0435,0.2931
2016,Contra Costa,30993506.08,0.0352,401.81,33183.63,22523136.75,0.0351,292.0,24114.71,934,0.0121,1614.4033,71.0,0.5498,0.4502,0.6451,0.0956,0.1204,0.1388,0.2675
2016,Del Norte,465022.02,0.011,89.31,27354.24,401735.42,0.0116,77.15,23631.5,17,0.0033,461.3021,69.0,0.5151,0.4849,0.8727,0.0023,0.0474,0.0776,0.3127
2016,El Dorado,3063296.26,0.0132,128.53,28628.94,2395418.87,0.0135,100.51,22387.09,107,0.0045,588.4278,72.0,0.5209,0.4791,0.9016,0.0061,0.0496,0.0428,0.1629
2016,Fresno,30635274.99,0.038,401.51,25172.78,29369368.48,0.0429,384.91,24132.6,1217,0.0159,2262.1722,71.0,0.5272,0.4728,0.5718,0.0458,0.2957,0.0867,0.3626
2016,Glenn,1234265.67,0.0246,244.75,26831.86,1140240.11,0.0276,226.1,24787.83,46,0.0091,1255.6018,72.0,0.5245,0.4755,0.7811,0.0067,0.167,0.0452,0.2764
2016,Humboldt,2828908.2,0.0142,115.11,27201.04,2404448.23,0.0155,97.84,23119.69,104,0.0042,529.4405,70.0,0.5246,0.4754,0.8859,0.0075,0.0335,0.073,0.249
2016,Imperial,11907736.55,0.0468,506.67,22382.96,12765155.51,0.0578,543.15,23994.65,532,0.0226,3062.5053,72.0,0.5109,0.4891,0.2321,0.0149,0.7272,0.0258,0.5075
2016,Inyo,559119.54,0.0135,137.95,26624.74,479262.23,0.0151,118.25,22822.01,21,0.0052,630.8907,73.0,0.5292,0.4708,,,,,0.1828
2016,Kern,27877899.22,0.0401,463.17,26626.46,25082989.38,0.0433,416.74,23957.01,1047,0.0174,2408.7624,69.0,0.5199,0.4801,0.6197,0.0522,0.2698,0.0583,0.3883
2016,Kings,5888384.39,0.0464,470.96,24433.13,5585453.89,0.0516,446.73,23176.16,241,0.0193,2757.2583,71.0,0.5388,0.4612,0.5459,0.0415,0.3554,0.0572,0.35
2016,Lake,3491088.56,0.0208,230.71,26052.9,2935558.95,0.0232,194.0,21907.16,134,0.0089,1071.3058,70.0,0.5158,0.4842,0.8682,0.0235,0.0656,0.0428,0.3255
2016,Lassen,355690.22,0.0096,80.78,20922.95,340976.41,0.0106,77.44,20057.44,17,0.0039,583.6929,70.0,0.5146,0.4854,0.8978,0.0089,0.0418,0.0516,0.238
2016,Los Angeles,298694154.02,0.0359,518.72,26444.81,263782081.58,0.0388,458.09,23353.88,11295,0.0196,2628.1839,72.0,0.5529,0.4471,0.5221,0.0894,0.2027,0.1859,0.4033
2016,Madera,3784234.42,0.0291,275.06,21379.86,4114583.31,0.0368,299.07,23246.23,177,0.0129,1726.9225,71.0,0.5132,0.4868,0.638,0.0307,0.2862,0.0451,0.3284
2016,Marin,3708890.2,0.0123,125.06,33115.09,2722711.32,0.0124,91.81,24309.92,112,0.0038,488.721,74.0,0.5528,0.4472,0.8671,0.0178,0.0387,0.0764,0.1355
2016,Mariposa,280233.21,0.0074,68.27,20016.66,239242.14,0.0078,58.28,17088.72,14,0.0034,412.4239,72.0,0.5267,0.4733,0.9174,0.0051,0.0375,0.04,0.1647
2016,Mendocino,3542998.99,0.0206,189.49,28343.99,2878589.55,0.0225,153.95,23028.72,125,0.0067,914.6433,70.0,0.5225,0.4775,0.8619,0.008,0.0665,0.0636,0.2847
