COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Contra Costa,2019,145,2702,0.9586206896551724,1.0,5400,,3.230769230769231,,80.61538461538461,80.53846153846153,80.6923076923077,83.61538461538461,87.0,87.3076923076923
Del Norte,2019,4,36,1.0,0.0,0,,,,,,,,,
El Dorado,2019,8,185,1.0,1.0,592,,4.0,,86.0,81.0,81.0,86.0,89.0,90.0
Fresno,2019,125,2539,0.888,0.888,4968,,3.3,,80.1,78.9,81.4,84.8,86.0,87.5
Humboldt,2019,16,222,1.0,1.0,408,,2.0,,77.0,80.0,79.0,80.0,84.0,82.0
Imperial,2019,40,800,1.0,1.0,1192,,4.333333333333333,,83.66666666666667,84.66666666666667,81.33333333333333,88.0,89.33333333333333,91.0
Inyo,2019,8,96,0.0,0.0,0,,,,,,,,,
Kern,2019,130,2999,1.0,0.9307692307692308,4680,,3.6666666666666665,,82.77777777777777,82.77777777777777,80.88888888888889,87.44444444444444,87.66666666666667,90.0
Kings,2019,32,448,1.0,1.0,1072,,3.0,,80.66666666666667,76.66666666666667,81.66666666666667,86.66666666666667,84.33333333333333,86.0
Lake,2019,15,180,1.0,1.0,0,,,,,,,,,
Los Angeles,2019,1453,33418,0.9683413626978665,0.8313833448038541,64536,,3.295985060690943,,81.39775910364146,79.81979458450047,78.68627450980392,85.4407096171802,86.29878618113912,87.84593837535014
Madera,2019,27,484,0.8888888888888888,0.8888888888888888,672,,3.5,,75.0,81.5,83.5,82.0,86.0,89.0
Marin,2019,22,448,0.6363636363636364,1.0,624,,3.5714285714285716,,84.57142857142857,80.71428571428571,83.57142857142857,89.0,88.0,90.42857142857143
Mendocino,2019,16,262,0.0,1.0,240,,5.0,,85.0,90.0,90.0,86.0,92.0,94.0
Merced,2019,48,1013,0.8333333333333334,1.0,1600,,3.25,,79.0,80.25,79.75,85.0,85.25,88.5
Monterey,2019,55,1032,0.8545454545454545,0.8545454545454545,2392,,4.0,,84.75,81.25,83.75,89.25,88.25,90.75
Napa,2019,22,318,1.0,1.0,496,,2.0,,78.0,75.0,75.0,82.0,81.0,82.0
Nevada,2019,8,144,1.0,1.0,240,,5.0,,90.0,87.0,89.0,92.0,98.0,96.0
Orange,2019,383,8141,0.8981723237597912,0.9399477806788512,16742,,3.5953177257525084,,83.39799331103679,82.3913043478261,80.85953177257525,86.28428093645485,88.01672240802675,89.4314381270903
